CustomerID,Recency,Frequency,Revenue
18074,373,13,489.6
13747,373,1,79.6
12791,373,2,192.60000000000002
17908,373,58,243.28
16583,373,14,233.45
17968,373,85,277.35
14729,373,71,313.49
14237,372,9,161.0
15350,372,5,115.65
15165,372,27,487.75
17643,372,8,101.55
16274,372,67,357.95
14142,372,22,311.81
13065,372,14,205.85999999999999
18011,372,28,102.78999999999999
17732,372,18,303.97
12855,372,3,38.1
17855,372,17,208.97
17925,372,1,244.08
13108,372,10,350.06
15070,372,1,106.2
15923,372,21,127.08
16752,372,9,207.5
15922,371,12,375.40000000000003
16510,371,13,248.1
17976,371,65,353.19
17547,371,2,11.8
13958,371,5,102.45
16995,371,1,1.25
13011,371,3,50.550000000000004
16754,371,2,2002.4
14576,371,1,35.400000000000006
12738,371,11,155.35
14213,371,5,1192.2
12686,371,7,89.14
14679,371,1,2.55
17967,371,48,123.07
14589,371,3,39.75
16926,370,14,230.25
12725,370,24,427.8
14813,369,30,155.43
16718,368,45,623.75
15880,368,106,373.28
15899,368,4,56.25
18113,368,1,76.32000000000001
17860,368,58,252.8
16658,367,8,123.24
16138,367,1,7.95
18119,367,30,181.12
13786,366,7,230.39999999999998
15180,366,6,87.5
13807,366,7,112.6
16125,366,13,289.35
14821,366,2,48.800000000000004
12441,366,11,173.55
16893,366,45,145.93
15221,365,11,692.4
16679,365,3,129.75
12870,365,2,14.899999999999999
15332,365,35,1661.06
16858,365,13,405.49
13270,365,1,590.0
15347,365,5,201.60000000000002
13370,365,44,788.42
16252,365,21,295.09000000000003
14932,365,17,363.53
14355,365,11,174.4
16065,364,74,372.09
15945,364,2,181.0
17978,364,12,300.92
16795,364,66,414.88
16579,364,1,30.6
16781,364,19,327.85
17456,364,17,249.86
17307,364,1,152.64
12605,364,3,7.5
17880,364,26,458.92
14082,364,29,182.25
15723,364,41,203.1
16727,363,46,272.82
16565,363,3,173.7
15503,362,70,147.09
17251,362,39,283.28000000000003
14413,361,23,122.7
18004,361,40,169.47
16665,361,9,135.4
15454,361,25,179.1
15361,361,7,418.92
17303,360,53,250.04
17524,360,6,145.0
13948,360,3,102.0
16202,360,18,365.27
18141,360,1,35.400000000000006
16262,360,3,31.65
16812,360,15,479.35
16499,359,22,411.8
12797,359,17,313.88
13295,359,11,204.45000000000002
17525,359,9,422.7
17551,358,43,306.84
18050,358,5,74.4
12666,358,2,227.44
17752,358,1,80.64
13829,358,1,102.0
17496,358,10,271.05
15789,357,25,351.3
15224,357,16,333.68
18269,357,8,198.3
14373,357,4,76.55
17691,357,19,290.40000000000003
13874,357,18,540.45
12551,357,10,168.0
15204,356,9,316.58000000000004
15160,356,4,158.16
13033,356,11,190.55
17343,354,17,193.64000000000001
18256,354,4,50.099999999999994
15279,354,21,303.61
14119,353,1,19.9
13369,353,19,352.81
15460,353,58,216.76
18176,353,33,504.05
16270,352,54,1141.24
12515,352,16,383.7
12734,352,4,110.39999999999999
15562,351,1,134.55
13922,351,7,172.25
13304,350,21,300.42
16282,339,11,168.3
15266,337,6,119.3
15464,337,157,1048.85
12503,337,1,1126.0
12386,337,10,401.9
15823,336,17,870.76
13187,336,37,236.02
15607,336,13,104.75999999999999
12489,335,15,334.93
15649,335,2,816.0
14889,335,10,135.9
17128,334,14,157.09
12793,334,24,545.48
12651,334,9,114.0
18032,333,5,73.5
16850,333,19,332.41
15326,333,29,311.71
12736,332,4,234.0
16351,332,8,153.9
13144,332,3,110.95
15346,332,17,252.42000000000002
17569,331,29,344.14
14270,331,29,492.65000000000003
14185,330,3,197.65
15447,330,9,155.17000000000002
16315,330,14,226.37
15510,330,1,250.0
17406,329,116,2472.12
18085,329,29,689.95
15100,329,6,1116.8999999999999
12672,329,10,225.9
13385,329,35,534.57
18106,329,39,430.7
12872,326,66,599.97
15316,326,1,165.0
14238,325,8,146.85
18212,325,43,248.42000000000002
13859,325,28,201.16
18233,325,1,440.0
12346,325,2,154367.2
13898,325,12,155.93
15395,325,7,107.45
13693,324,4,32.0
12665,324,4,64.25
14090,324,1,76.32000000000001
15171,324,7,1544.5
15262,323,10,178.95000000000002
17862,323,11,330.9
12402,322,11,225.60000000000002
13008,322,15,280.46999999999997
15422,322,6,97.7
15174,322,11,135.75
13284,322,14,206.23
17890,322,94,602.09
16387,322,4,94.36
12829,321,12,332.95
12652,321,51,925.4300000000001
17714,320,10,153.0
15167,320,41,163.0
14068,319,24,265.85
14368,319,8,155.0
14782,319,6,200.10000000000002
14439,319,32,2661.24
15820,319,17,206.98
13551,318,4,91.80000000000001
15052,318,30,215.78
14130,318,67,483.86
15222,318,5,585.0
16757,318,7,106.83000000000001
15213,318,25,331.65
13703,317,1,99.5
16222,317,137,846.72
14248,317,8,302.58
13002,317,7,120.95
17094,317,15,333.8
17118,317,10,157.01999999999998
15661,316,5,309.8
12591,316,26,452.84999999999997
12764,316,45,1693.88
13328,315,17,1308.48
16124,315,16,310.85
12574,315,11,218.45
12735,314,43,779.5699999999999
12501,314,160,2249.1
12377,314,77,1628.1200000000001
17062,313,71,542.27
13161,312,8,112.75
15415,312,48,572.8100000000001
17431,312,43,403.3
17239,312,16,385.05
15448,312,28,494.64
13615,312,24,435.39000000000004
18095,312,21,580.05
17619,311,77,218.52
13506,311,29,464.22
13600,311,19,219.52
15881,311,32,564.54
14496,311,19,538.8100000000001
14627,311,5,21.85
17356,311,19,178.22
14850,311,22,373.35
13494,311,18,316.26000000000005
12373,310,14,364.6
14549,310,56,289.24
15107,310,20,391.34
15940,310,2,39.8
14457,310,4,113.64
12559,310,22,587.21
14411,310,14,1063.0
15226,310,8,154.41
17912,309,40,326.41
17223,309,49,426.79
12350,309,17,334.40000000000003
16030,309,29,331.24
13800,309,33,558.32
13581,308,10,118.0
17517,308,11,153.94
17226,308,21,393.49
17291,307,1,550.8000000000001
15090,307,23,381.32
13963,307,35,664.54
17392,306,62,457.91
13584,306,24,142.39999999999998
15808,305,210,3745.17
14438,305,9,131.9
12956,305,19,108.07
14600,305,25,393.33000000000004
13809,304,12,155.05
17859,304,25,148.21
15753,304,1,79.2
17881,303,8,133.35
15843,303,8,118.95
15970,303,11,314.09999999999997
12401,302,5,84.3
17843,302,37,205.48
17358,302,59,365.85
13706,302,20,330.79
12561,302,16,238.85
16425,301,21,302.7
17850,301,312,5493.79
16405,301,5,167.25
16403,301,15,193.95
16725,301,152,786.97
13819,301,36,1140.35
12505,300,1,4.5
13672,300,16,444.24
18250,300,22,355.62
18159,300,23,530.15
15638,300,2,94.0
12943,300,1,3.75
14497,300,31,493.27000000000004
12410,300,28,705.58
17334,300,12,307.44
16897,298,44,366.53000000000003
16084,298,38,436.18
15236,298,15,321.05
14431,298,22,542.96
17829,298,30,889.24
16738,297,1,3.75
13893,297,21,821.1
14176,296,32,579.8000000000001
14935,296,10,1784.71
16509,296,13,363.70000000000005
14386,296,7,142.4
15670,296,12,173.05
16494,296,50,826.53
16148,295,1,76.32000000000001
18138,294,8,152.65
14371,294,4,100.5
13932,294,16,307.4
14760,293,7,124.60000000000001
16765,293,1,34.0
12988,291,92,535.32
12707,291,33,603.42
16073,291,2,150.45000000000002
12365,290,23,962.0699999999999
13044,290,33,560.47
16546,290,31,1670.2300000000002
16349,290,9,53.5
16913,289,8,113.44
18114,289,28,220.1
15303,289,31,574.02
12852,289,20,323.35
17499,289,40,622.88
15397,289,6,94.0
18068,288,1,101.7
15590,288,1,30.19
17171,288,16,224.91
17117,287,9,116.2
12945,287,23,462.95
18056,287,19,363.65000000000003
16072,287,23,584.3199999999999
15543,287,28,127.86
13751,287,9,296.25
16997,287,12,702.0
13753,287,35,741.26
12361,286,10,189.9
13973,286,11,264.7
13684,285,31,70.23
14036,284,38,626.65
16339,283,20,109.95
12509,283,7,176.5
14046,283,14,154.99
17165,283,10,158.68
16078,283,1,79.2
15709,283,6,133.25
15319,283,16,204.5
15456,282,60,447.22
12866,282,26,559.12
13497,282,20,375.05
15733,282,10,162.3
12834,282,18,312.38
13166,281,42,419.7
16792,281,12,110.38
12873,281,4,374.0
17923,281,1,207.50000000000003
15087,281,15,306.94
12565,281,10,160.67000000000002
16159,281,14,348.2
17995,281,2,76.1
17789,280,14,225.9
15257,280,8,402.15
12817,280,4,166.04000000000002
13715,280,108,1104.74
17508,280,22,387.31
13382,280,15,222.99
14570,280,29,218.06
14779,280,41,386.15
17325,279,6,96.8
14670,279,132,411.53
17535,279,13,164.4
14247,277,20,136.77
15554,277,14,217.2
18280,277,10,180.60000000000002
12614,277,20,315.6
14012,277,11,328.8
17654,276,22,117.55
16598,276,11,149.4
14048,276,88,444.73
16517,276,17,162.70000000000002
15869,276,15,149.64
13345,276,22,401.4
15234,276,14,197.0
15944,276,6,325.1
16917,276,9,391.52
12623,275,18,305.1
17639,275,7,108.5
12881,275,7,298.0
17138,275,24,380.5
14165,275,25,122.54
15057,274,25,1489.5
13493,274,8,618.63
16471,274,13,223.95000000000002
14603,274,2,660.0
16625,274,23,333.08
18086,273,7,101.34
14727,273,10,268.58
14114,273,15,386.53
13133,273,7,109.8
17194,273,29,262.62
15049,273,3,121.17000000000002
13226,272,16,108.21
16766,272,34,1145.6
13708,270,51,296.88
14962,270,5,126.7
15308,270,21,318.67
14350,270,21,307.16
15388,269,10,140.54
16037,269,39,855.02
15047,269,22,343.62
17542,269,25,170.75
16392,269,45,221.19
13716,268,21,138.28
16061,268,1,29.95
13121,268,53,312.73
16152,268,29,1829.04
13358,268,29,439.03
13261,268,9,944.1
13299,267,5,142.5
13185,267,1,71.4
14840,267,4,62.85
13216,267,5,333.74
12845,266,27,354.09000000000003
14081,266,156,964.37
16216,266,37,914.9300000000001
16377,266,5,676.2
16976,266,2,251.51999999999998
12514,266,51,1017.6800000000001
13093,266,170,7923.47
13707,266,48,806.41
13072,266,7,177.15
15695,266,22,409.98
16716,266,3,1482.6000000000001
14059,266,8,183.6
14066,266,7,152.55
15019,266,70,266.0
14041,265,21,141.41
17060,265,5,234.23999999999998
14155,265,6,118.75
14633,265,20,344.90000000000003
15703,264,5,211.5
12902,264,10,138.68
16402,264,60,299.6
14693,264,8,172.9
16096,263,12,320.62
15408,263,34,267.18
15445,263,5,113.5
17230,263,73,3810.15
14762,263,21,300.52
13934,263,31,922.1
18224,263,10,158.95000000000002
17678,263,16,298.11
17763,262,1,15.0
13262,262,11,200.29
16427,262,9,241.06
14632,262,8,114.56
16135,262,21,517.5500000000001
12831,261,9,215.05
15437,261,45,200.16
15457,261,58,237.07
16721,261,37,292.47
17102,261,1,25.5
13239,261,22,329.56
14870,261,13,327.25
17507,261,88,605.58
18191,261,7,207.8
13132,261,3,77.3
17486,260,24,396.87
12564,260,21,456.90000000000003
16250,260,24,389.44
12811,260,31,514.85
13341,260,42,775.85
13512,260,15,251.21
17698,260,8,154.95
16022,259,76,628.28
16769,259,40,380.39
16063,259,23,335.32
15178,259,3,40.5
14348,259,18,409.57
14536,259,19,171.8
13452,258,2,590.0
18071,257,25,453.0
16256,257,14,772.23
13357,256,90,609.95
14476,256,19,215.7
13368,256,29,623.4
12792,256,25,400.54
13649,256,23,346.6
15083,256,5,88.19999999999999
18010,256,14,174.79999999999998
16692,255,3,1276.0
15032,255,55,5454.1
13803,254,17,277.07
13439,254,54,283.71
16980,254,87,1078.96
17775,254,3,56.4
15353,254,63,777.02
15424,253,17,383.34000000000003
15832,253,54,836.79
15528,253,26,229.33
14256,253,54,1003.0600000000001
14479,253,18,316.25
13060,253,15,307.53000000000003
14890,253,7,125.65
13043,253,14,561.27
16619,253,16,248.01
15894,252,41,263.55
14957,252,12,58.49
17212,252,4,226.85
14886,252,18,364.8
13626,252,19,257.23
15589,252,30,500.48
13841,252,1,85.0
17701,252,24,417.95
17580,252,45,215.72
16162,251,2,37.4
15691,251,2,136.8
13781,250,17,127.84
12755,249,6,5420.7
16142,249,37,535.34
13059,249,8,183.4
18185,248,17,304.25
17956,248,1,12.75
18108,248,19,277.35
16586,248,8,463.95
16105,248,13,336.96
15442,248,2,594.0
17492,247,12,374.57000000000005
14747,247,19,362.1
15917,247,12,123.1
14220,246,21,632.4
17140,246,20,465.32
14964,246,13,206.21
16378,246,23,362.95
17438,246,19,398.6
17906,246,12,72.89999999999999
16144,246,1,175.2
12580,246,24,415.7
13712,246,10,228.84
14465,246,130,1058.6200000000001
13718,245,12,306.55
14981,245,8,102.12
16643,245,27,487.51
15119,245,14,266.4
14924,245,10,310.05
16623,245,5,129.45000000000002
16010,245,86,407.5
17035,245,32,478.73
15775,244,7,104.9
13863,244,22,312.0
13508,243,12,110.97
12447,242,26,476.49
13570,242,27,239.49
18129,242,14,112.55000000000001
13501,242,53,1370.17
17574,242,8,185.65
14616,242,3,406.08000000000004
16552,242,17,379.73
14669,241,170,1269.99
17972,241,31,136.04
17278,240,15,246.04000000000002
15363,240,17,333.95000000000005
13484,240,8,313.8
15777,240,22,1072.6100000000001
16697,240,21,112.75
15109,240,31,506.15000000000003
13740,240,23,350.75
16097,239,10,185.04999999999998
13221,239,66,847.41
12982,239,34,403.88
15139,239,13,178.96
15212,238,7,114.65
15935,238,12,416.86
16957,238,16,416.64
15230,238,23,429.6
17362,238,35,312.23
14154,238,52,1345.62
14206,238,21,348.06
14619,238,22,409.37
17601,238,9,116.00999999999999
17142,238,15,579.0
12582,238,22,511.36
13120,238,1,30.6
12769,238,32,1143.6
12639,238,22,486.1
17367,237,34,168.4
15246,237,33,514.15
18213,236,15,232.48000000000002
17990,236,29,630.84
16193,236,19,314.45
14532,235,64,932.85
17582,235,29,175.27
13474,235,64,229.59
17697,235,19,338.95000000000005
12754,235,65,3072.36
16947,235,21,406.48
15973,235,6,515.87
16617,235,5,151.85
15749,234,15,67532.7
16217,234,19,349.11
18009,234,33,262.44
14672,234,61,765.55
14326,234,9,200.85000000000002
17746,234,8,121.7
14339,234,18,329.13
14242,234,16,280.55
15717,233,7,150.3
12585,233,97,2097.39
13101,233,8,101.19
15225,233,23,409.40000000000003
12733,233,22,383.95
17217,233,9,113.5
14148,233,3,157.2
13485,232,23,454.24
15517,232,27,267.03000000000003
17120,232,18,307.46000000000004
15135,232,10,150.95
15655,232,37,610.02
17946,232,20,149.57999999999998
12506,232,23,73.5
12354,231,58,1079.4
17718,231,6,139.35
14770,231,52,876.4200000000001
16587,231,13,225.15
12622,231,11,180.1
13482,231,11,184.64000000000001
17670,227,11,205.7
16834,227,24,413.46
17277,227,69,1065.3500000000001
16823,226,38,358.38
12573,226,28,160.54000000000002
14586,226,27,340.56
16698,226,5,1998.0
16965,226,26,201.19
15891,226,62,524.52
17187,226,10,203.95
15223,225,32,1056.6
15143,225,14,259.45
13229,225,10,160.95
14271,225,10,112.32000000000001
17893,224,16,112.25
14022,224,28,440.0
17991,224,5,93.35
15210,224,20,331.18
16163,224,7,1271.6000000000001
14311,224,27,390.81
14304,222,27,569.8000000000001
16634,222,9,217.9
16055,220,8,134.8
17501,220,18,288.6
17443,219,1,534.24
18220,219,4,312.78
16610,218,6,75.66
17646,218,54,1021.12
17394,218,4,203.86999999999998
13731,218,38,610.59
16227,218,7,320.12
16990,218,1,179.0
17374,218,28,495.77
16109,218,18,611.88
14340,218,6,134.7
13711,218,13,252.06
16714,218,94,1411.53
15147,218,29,638.35
18239,218,88,1561.6100000000001
16457,217,9,208.36
14199,217,2,185.39999999999998
17849,217,26,605.8000000000001
14423,217,3,265.2
15759,217,7,253.04000000000002
14697,217,22,188.61
18183,217,44,663.62
14393,217,5,67.95
15235,217,143,2247.51
17548,217,17,348.08
15668,217,1,76.32000000000001
16319,217,3,404.40000000000003
17174,217,4,59.9
18227,217,5,93.75
17604,216,63,309.36
18078,216,29,336.13
15552,216,17,90.12
12414,216,18,562.41
13723,216,6,199.85000000000002
14161,215,108,1110.52
13642,215,66,354.8
13561,215,14,141.86
15092,214,26,457.81
14353,214,6,90.6
16756,214,13,239.4
18120,213,17,111.15
12355,213,13,459.4
14699,213,8,109.13000000000001
12821,213,6,92.72
12888,213,7,394.47
17597,213,55,2044.3700000000001
15381,213,8,596.85
16306,213,44,662.27
15063,212,5,370.8
16431,212,83,642.81
13990,212,16,311.3
14920,212,57,977.77
16297,212,23,328.4
14149,212,40,633.8100000000001
15079,212,48,897.56
13052,211,18,348.15
15732,211,14,294.12
14288,211,17,439.35
17889,211,21,203.87
13235,211,59,1960.97
12625,211,91,2753.32
12976,211,22,738.6
16244,211,91,1522.75
16943,211,33,816.73
14988,211,40,334.54
13837,211,19,271.24
16006,210,8,101.4
18133,210,2,1147.5
13952,210,138,3256.051
17970,210,31,582.59
12770,210,12,1351.45
12857,210,46,1106.4
14873,209,28,519.68
14689,208,13,112.80000000000001
15333,207,16,1028.56
17263,207,23,63.44
15813,207,40,1303.91
14489,206,30,463.38
14888,206,20,369.2
13976,206,10,357.98
14320,206,42,612.47
17504,205,140,3248.78
14000,205,16,637.61
18218,205,24,697.78
12690,205,16,389.01
16116,205,35,632.68
17556,205,6,157.9
13572,205,33,1384.25
13531,204,22,483.8
14896,204,43,468.77000000000004
17245,204,9,171.45
17871,204,10,155.9
12897,204,4,216.5
14620,203,30,432.28000000000003
13762,203,14,613.44
15648,203,28,714.8000000000001
13887,203,19,349.55
12353,203,4,89.0
13391,203,1,59.8
17455,203,8,131.7
13151,202,75,1265.3700000000001
13243,202,58,600.07
16226,202,8,255.12
18048,202,7,172.29
14195,201,8,1061.3
13227,201,9,257.7
17176,201,15,306.13
14647,200,30,243.22
15724,200,12,224.20000000000002
15292,200,25,180.94
15705,200,6,143.1
13339,200,54,860.12
17715,200,1,326.4
13223,199,5,163.2
14817,199,63,1110.34
13737,199,30,339.6
18202,199,68,1396.99
15314,198,24,327.97
15042,198,5,135.93
15882,198,24,537.36
17955,198,19,557.3
17770,198,38,1143.27
14705,198,1,179.0
14985,197,87,296.75
14009,197,44,705.29
16448,197,20,188.89000000000001
15729,197,6,108.0
13479,197,16,310.9
12974,197,8,144.8
16356,197,32,213.22
12547,197,8,207.8
16838,196,26,594.8
14816,196,4,271.85
17550,196,42,267.16
13659,196,108,1595.55
14828,196,17,2139.76
14280,196,8,134.04
13135,196,1,3096.0
16275,196,33,559.87
12999,195,28,455.88
16323,195,1,207.50000000000003
16034,195,22,437.70000000000005
16889,194,135,1578.67
17152,194,16,1875.5
12426,194,30,582.73
15897,193,24,222.05
16567,193,35,865.6
17051,193,43,247.14000000000001
15925,193,12,207.15
16483,191,19,139.35
13398,191,26,457.34000000000003
13070,191,9,228.8
17454,191,61,517.53
12790,191,21,324.92
18231,191,126,2100.37
18190,191,16,294.41
16810,191,16,343.44
14377,190,11,617.05
16424,190,6,184.56
13475,190,86,1431.78
17472,190,181,710.29
13062,190,11,346.98
17820,190,5,24.05
14740,190,93,1473.21
16449,190,43,740.69
17578,190,6,162.18
15918,190,40,334.23
14453,189,22,119.93
12590,189,70,9867.14
15658,189,56,1089.3
16529,189,30,455.25
17375,189,71,427.7
13294,189,54,873.74
16230,189,35,542.03
12601,189,29,584.5600000000001
16117,189,30,232.21
16967,188,21,319.02
15405,188,8,349.1
16659,188,2,39.12
13885,188,28,506.8
15508,188,92,1000.27
17708,187,35,267.08
14682,187,2,52.0
14512,187,23,275.28
16883,186,38,276.73
16963,186,7,110.55000000000001
13682,186,3,59.5
16849,186,8,124.57
15852,186,22,160.71
16520,185,157,1056.52
15386,185,31,394.14
16611,185,11,137.99
14542,185,5,103.25
12868,185,107,1607.06
14867,185,37,719.23
12891,185,3,331.0
17874,184,47,708.66
14375,184,75,257.68
17124,184,32,298.89
17987,184,13,198.57
16763,184,24,628.8
17026,184,4,154.83
17707,184,5,152.4
13395,184,21,307.71999999999997
14625,184,57,950.78
17854,184,15,311.26
12383,184,100,1861.81
17409,184,13,771.85
16955,184,26,543.67
14622,184,21,320.58
16832,183,12,199.15
12802,183,26,442.58
13811,183,14,1037.25
14241,183,10,213.7
15780,183,29,475.28000000000003
16113,182,30,161.38
13900,182,43,740.95
13462,182,10,159.75
13686,182,8,72.0
15609,182,18,326.93
17234,182,14,149.89
16614,182,26,506.19
13533,182,76,270.79
15098,181,5,79183.5
14450,180,40,483.25
18281,180,7,80.82
14823,179,70,321.43
14573,179,241,1703.12
12732,179,12,236.26000000000002
17795,179,46,350.39
15069,178,70,1109.53
17349,178,9,110.75
13080,178,6,58.08
14231,178,54,1029.3600000000001
13663,178,13,189.47
15643,178,36,680.6
13476,178,61,1384.17
12818,177,16,1566.28
15912,177,19,264.62
17749,177,35,674.52
17179,177,80,711.79
15574,177,168,702.25
16461,177,33,151.42
16644,177,62,833.78
17536,176,3,76.5
18165,176,10,302.46
14222,176,41,683.17
15585,176,31,455.3
16276,176,6,810.6
16257,176,2,46.95
17446,176,9,120.89999999999999
14037,175,28,147.20000000000002
14245,175,112,1709.42
13951,175,39,674.45
15219,175,9,305.75
18168,175,140,1206.24
14491,174,17,340.93
17616,173,3,571.1999999999999
15909,173,7,191.94
13005,173,29,558.45
13618,173,13,177.34
16805,173,98,460.59
14162,173,25,289.36
16050,173,10,137.9
16484,173,26,429.2
17879,173,6,178.52
13568,172,44,192.85
18062,172,27,720.52
15535,172,78,612.9
12837,172,12,134.1
15076,172,49,880.85
15921,172,25,336.03000000000003
17897,172,115,592.1
13343,172,22,402.93
15016,172,20,170.04
18260,172,140,2691.4
15825,171,20,532.94
16320,171,56,1038.46
15389,171,1,500.0
15700,171,89,729.33
15280,171,16,113.12
16739,171,16,333.45
15507,171,46,492.36
16526,171,15,290.36
17960,170,26,73.78
15412,170,10,190.53
13936,170,27,391.88
16114,170,8,135.75
16214,170,44,1062.75
17877,169,12,237.61
16247,169,16,114.56
14643,169,34,719.01
15041,169,67,180.35
14998,169,75,429.87
16287,169,8,142.5
15130,169,22,330.11
15384,169,43,649.06
16647,169,14,214.06
17709,169,7,137.45
17630,169,26,503.6
15379,168,196,3774.69
14656,168,80,291.05
17204,168,67,1776.21
13929,168,10,882.45
13937,168,9,158.85
14584,168,101,1055.26
17704,168,31,885.19
13856,168,17,413.6
15258,168,34,623.16
15665,167,116,2242.01
12809,167,26,494.26
15104,166,71,1052.34
17969,165,14,228.2
14795,165,6,131.45000000000002
15644,165,238,813.0
12548,165,5,95.19999999999999
13453,165,17,356.98
12493,165,23,450.69
17980,165,30,811.45
17110,164,12,163.29999999999998
15976,164,98,430.94
16473,164,19,317.36
13656,164,49,379.65
16545,164,3,339.3
14481,164,30,636.51
14351,164,1,51.0
13300,164,22,378.49
17900,164,11,209.39999999999998
15146,164,95,1340.66
17391,163,3,508.8
17408,162,2,32.65
15537,162,24,110.92
14327,162,12,311.65000000000003
16801,162,121,2371.63
16553,162,86,5775.07
12424,162,30,1760.96
15578,161,13,127.1
14803,161,44,845.55
17891,161,34,203.85999999999999
17123,161,9,345.3
17505,161,52,1145.8400000000001
15483,160,88,233.81
16498,160,16,115.82000000000001
12922,160,28,405.38
17939,159,12,99.14
13833,158,29,384.8
17899,158,32,155.79999999999998
17105,158,90,665.78
17781,158,12,188.02
15007,158,12,156.91
17765,158,57,371.88
17464,157,9,289.96000000000004
16344,157,2,101.10000000000001
14338,157,34,622.22
15349,157,72,473.81
13826,157,12,204.35
15646,157,36,470.14000000000004
13085,157,29,559.78
18203,156,19,160.42000000000002
16338,156,11,214.8
16146,156,29,734.13
17046,156,22,642.02
14352,156,47,1078.96
14645,156,30,597.09
13253,156,36,1030.4
16829,156,11,197.22000000000003
15889,156,93,446.87
15334,156,99,351.67
17341,156,183,781.36
16919,155,327,2596.45
12450,155,8,197.88
12977,155,9,39.24
15512,155,7,121.0
13291,155,42,361.11
13583,155,53,781.03
12980,155,24,7657.740000000001
14459,154,37,1837.92
18013,154,31,187.29
14021,154,22,631.9
16581,154,11,141.24
13699,154,14,308.58000000000004
18072,154,36,494.88
13302,154,1,63.75
16091,154,18,315.06
14264,154,19,348.47
12648,154,21,318.05
14104,154,21,216.20999999999998
14905,153,18,632.4
15182,153,29,622.85
18037,153,19,70.02
14016,153,162,4353.96
13338,153,24,542.22
15920,153,60,167.5
13955,153,33,322.96
17787,152,134,1865.19
18024,152,22,542.78
17126,151,262,1017.65
13678,151,16,232.6
15045,151,13,837.66
13754,151,12,282.6
14552,151,58,165.07
13675,150,25,486.82
18142,150,18,1024.14
13745,150,26,308.54
15265,150,82,1506.1200000000001
12717,150,56,1080.98
17337,150,548,2111.42
15577,150,39,258.88
12669,150,102,3880.33
18193,150,18,274.56
14267,150,66,1753.39
14548,150,4,652.8
14483,149,10,145.0
16998,149,6,302.98
15895,149,11,179.17
15795,149,42,610.01
16450,149,11,311.92
18121,148,32,673.1
13667,148,87,305.02
12405,148,54,1710.39
12653,148,43,2209.85
14847,148,13,309.40000000000003
12915,148,22,363.65
15256,148,6,98.45
15402,148,42,626.77
17259,147,124,603.37
14461,147,180,2103.06
14891,147,33,554.38
12815,147,47,1063.46
17440,147,8,195.74
17444,147,135,2940.04
